optional"=====================Mage_Bundle","=====================Mage_Bundle"
"ORDER SUMMARY","RESUMEN DE COMPRA"
"Check Out with Multiple Addresses","Verifique con varias direcciones"
"View Detail","Ver detalles"
"Opening Hours","Hora de apertura"
"View Cart","Ver Carrito"
" Do not show this popup again","No volver a mostrar esta ventana emergente"
"Sign up for the weekly newsletter and build better ecommerce stores.","Suscríbase al boletín semanal y cree mejores tiendas de comercio electrónico."
"Enter your email here…","Introduce tu correo electrónico…"
"Shipping Delivery Date", "Fecha de entrega del envío"
"Shipping Delivery Comment","Comentario de Envio"
"We respect your privacy, so we never share your info.", "Respetamos su privacidad, por lo que nunca compartimos su información."
"Read More","Más"
"My billing and shipping address are the same","Mi dirección de facturación y envío es la misma"
"Order comment","Comentarios"
"Collections","Colecciones"
"Pages","Páginas"
"Find Store","Encontrar Tienda"
"We'll send your order confirmation here.","Enviaremos la confirmación de tu orden aquí"
"optional","opcional"
"New Return for Order","Nueva Solicitud de Devolución"
"Nickname","Nombre"
"Items","artículos"
"we 'll send your order confirmation here","Enviaremos tu confirmación de pedido aquí"
"Submit Review","Enviar Comentario"
"On Sale","Con Promoción"
"Item #%1","Artículo #%1"
"Submit Request","Generar Reembolso"
"Request has been successfully cancelled.","Devolución cancelada."
"Pending Approval","Pendiente de Aprovación"
"Package Condition","Condición del paquete"
"Post Reply","Enviar"
"Damaged","Maltratado"
"Approved","Aprobada"
"Approve","Aprobar"
"Canceled","Cancelado"
"Closed","Cerrado"
"Damaged","Da�ado"
"Issue Refund","Reembolso"
"Package Sent","Paquete enviado"
"Package Received","Paque recibido"
"Package Condition","Condici�n del paquete"
"Pending Approval","Pendiente de Aprovaci�n"
"Phone Number","Numero Telefonico"
"Post Reply","Enviar"
"%1$s incl tax.","%1$s incl. impuestos."
"* Required Fields","* Campos requeridos"
"-- Select --","-- Seleccionar --"
"Add New Option","Añadir nueva opción"
"Add Selection","Añadir selección"
"As Low as","Tan bajo como"
"As low as","Tan bajo como"
"Bundle Items","Elementos en paquete"
"Bundle Product","Artículos en paquete"
"Bundle Product View Summary","Paquete de artículos Ver resumen"
"Buy %1$s","Compra %1$s"
"Buy %1$s for","Compra %1$s con"
"Buy %1$s for %2$s","Compra %1$s con %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compra %1$s con %2$s (%3$s incl. impuestos) cada uno"
"Buy %1$s for %2$s each","Compra %1$s con %2$s cada uno"
"Buy %1$s with %2$s discount each","Compra %1$s con %2$s de descuento cada uno"
"Catalog Product View (Bundle)","Ver catálogo de artículos (paquete)"
"Checkbox","Casilla de verificación"
"Choose a selection...","Eliga una selección..."
"Click for price","Clic para precio"
"Close","Cerrar"
"Default","Predeterminada"
"Default Qty","Cantidad (predeterminado)"
"Default Title","Título (predeterminado)"
"Drop-down","Lista desplegable"
"Dynamic","Dinámico"
"Excl. Tax","Impuestos no incluidos"
"Excl. Tax:","Impuestos no incluidos:"
"Fixed","Costos fijos"
"From","desde"
"From:","desde:"
"Gift Message","Mensaje de regalo"
"Incl. Tax","Impuestos incluidos"
"Incl. Tax:","Impuestos incluidos:"
"Input Type","Introducir tipo"
"Is Required","Se requiere"
"Message:","Mensaje:"
"Multiple Select","Selección múltiple"
"N/A","N/D"
"No options of this product are available.","No hay opciones disponibles de este artículo."
"None","Ninguno"
"Percent","Porcentaje"
"Percent Discount","Descuento porcentaje"
"Please Select Products to Add","Por favor, seleccione los artículo que se va a añadir."
"Please enter a number greater 0 in this field.","Por favor, introduzca un número superior a 0 en este campo."
"Please enter search conditions to view products.","Por favor, indique las condiciones de búsqueda para ver artículos."
"Please select options for product.","Por favor, seleccione opciones para el artículo."
"Please specify product option(s).","Por favor, especifique opción(es) del artículo."
"Price Range","Rango de precio"
"Price Type","Tipo de precio"
"Price as configured","Precio según configuración"
"Qty:","Cantidad:"
"Radio Buttons","Botones de selección"
"Required options are not selected.","Opciones requeridas no se han seleccionadas."
"SKU","SKU (Número de Referencia)"
"Selected required options are not available.","Las opciones requeridas seleccionadas no están disponibles."
"Separately","Por separado"
"Ship Bundle Items","Enviar artículos en paquete"
"Shipment","Envío"
"Store View Title","Título de vista de tienda"
"There is no defined renderer for ""%s"" option type.","No hay un visualizador definido para el tipo de opción ""%s""."
"This product is also part of bundle(s)","Este artículo es también parte de un(os) paquete(s)"
"To","hasta"
"To:","hasta:"
"Together","Juntos"
"Total incl. Tax: %1$s","Total impuestos incluidos: %1$s"
"Use Default Value","Usar valor por defecto"
"User Defined Qty","Cantidad definida por el usuario"
"and","y"
"each","cada uno"
"save","grabar"
"=====================Mage_Catalog","=====================Mage_Catalog"
"# of Use","Nº de uso"
"%1$s incl tax.","%1$s con impuestos incluidos."
"%s - %s","%s - %s"
"%s Item(s)","%s artículo(s)"
"%s and above","%s y superior"
"%s-%s of %s","%s-%s de %s"
"(%d)","(%d)"
"(Copy data from: %s)","(Copiar datos de: %s)"
"* Required Fields","* Campos requeridos"
"-- Please Select --","-- Por favor, seleccione --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","La opción predeterminada es 86400, si no se la configura. Para actualizarla instantáneamente, borre la memoria caché de salida HTML del bloque."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">¡Atención!</strong> El MAP aplicado por defecto esconderá todos los precios de artículos en la parte frontal."
"A group with the same name already exists.","Ya existe un grupo con el mismo nombre."
"A name is required","Se requiere un nombre"
"A product type is not defined for the indexer.","No hay un tipo de artículo definido para el motor de indexación."
"ALL GROUPS","TODOS LOS GRUPOS"
"AM","AM"
"Action","Acción"
"Actual Price","Precio actual"
"Add","Añadir"
"Add Attribute","Añadir atributo"
"Add Design Change","Añadir cambio de diseño"
"Add Group","Añadir grupo"
"Add Group Price","Añadir precio de grupo"
"Add New","Nuevo"
"Add New Attribute","Nuevo atributo"
"Add New Attribute Set","Nuevo conjunto de atributos"
"Add New Group","Nuevo grupo"
"Add New Images","Añadir nuevas imágenes"
"Add New Option","Nueva opción"
"Add New Row","Nueva fila"
"Add New Search Term","Nuevo término de búsqueda"
"Add New Set","Nuevo conjunto"
"Add Product","Añadir artículo"
"Add Product To Websites","Añadir artículo a sitios web"
"Add Root Category","Añadir categoría raíz"
"Add Subcategory","Añadir subcategoría"
"Add Tax","Añadir impuestos"
"Add Tier","Añadir escalones de precios"
"Add attribute into attribute set","Añadir atributo al conjunto de atributos"
"Add group into attribute set","Añadir grupo al conjunto de atributos"
"Add new custom option into product","Añadir nueva opción de personalización al artículo"
"Add new values into custom option","Añadir nuevos valores a la opción de personalización"
"Add option","Añadir opción"
"Add to Cart","Agregar a carrito"
"Add to Compare","Añadir para comparar"
